text,Positive,Negative,Neutral,Compound,Sentiment
folk said daikon past could treat cytokin storm pfizerbiontech ,0.252,0.0,0.748,0.4019,Positive
world wrong side histori year hope biggest vaccin effort weve ev… ,0.193,0.207,0.6,-0.0516,Negative
coronavirus sputnikv astrazeneca pfizerbiontech moderna  russian vaccin creat last  years… ,0.0,0.0,1.0,0.0,Neutral
fact immut senat even your ethic sturdi enough acknowledg  born i… ,0.0,0.0,1.0,0.0,Neutral
explain need vaccin borisjohnson matthancock whereareallthesickpeopl pfizerbiontech… ,0.0,0.0,1.0,0.0,Neutral
anyon use adviceguid whether covid vaccin safe whilst breastfeeding… ,0.266,0.0,0.734,0.4404,Positive
bit sad claim fame success vaccin patriot competit usa canada uk and… ,0.353,0.166,0.481,0.5423,Positive
mani bright day  best  bidenharri win … ,0.784,0.0,0.216,0.8979,Positive
covid vaccin get covidvaccin  pfizerbiontech moderna,0.0,0.0,1.0,0.0,Neutral
covidvaccin state start get  monday us say pakustv nyc healthcar globalgoals… ,0.0,0.0,1.0,0.0,Neutral
death close  mark million peopl wait pfizerbiontech vaccin first u… ,0.0,0.302,0.698,-0.5994,Negative
cnnbrk  covidvaccin vaccin corona   pfizerbiontech bbcnew nytim bbcnew best wish us… ,0.434,0.0,0.566,0.7845,Positive
agenc also releas new inform health care provid patient us ship million d… ,0.211,0.0,0.789,0.4939,Positive
women healthcar provid ask safeti pfizerbiontech… ,0.0,0.0,1.0,0.0,Neutral
expect  site across state receiv vaccin monday anoth  site tuesday said offic… ,0.0,0.0,1.0,0.0,Neutral
trump announc vaccin rollout less  hoursth first american vaccin against… ,0.0,0.0,1.0,0.0,Neutral
updat yellowfev amp  immunitypassport  part  pfizerbiontech britain december… ,0.0,0.0,1.0,0.0,Neutral
coronavirus iran report  new case  death last  hour iran coronavirus pfizerbiontech… ,0.0,0.281,0.719,-0.5994,Negative
pfizer rake billion expens covidvaccin albertbourla refus cut price lowe… ,0.0,0.189,0.811,-0.2732,Negative
trump administr fail deliv vaccin promis shocker covidiot coronavirus covidvaccine… ,0.0,0.389,0.611,-0.6249,Negative
much fda get paid approv sudden money make world go around vaccine… ,0.0,0.0,1.0,0.0,Neutral
anyon wonder day pfizerbiontech approv uk peopl get vaccin tol… ,0.0,0.0,1.0,0.0,Neutral
trump announc vaccin rollout less  hoursth first american vaccin against… ,0.0,0.0,1.0,0.0,Neutral
us food drug administr fda grant emerg use author pfizerbiontech mrna… ,0.2,0.0,0.8,0.3612,Positive
present top medic newsadvanc past week dont want missdocnosoffici … ,0.18,0.122,0.698,0.1476,Positive
  donethankyounh nhsuk mhragovuk pfizerbiontech pfizer make covidvaccin dream poss… ,0.2,0.0,0.8,0.25,Positive
wear mask wash hand remain social distant possibl stayhom stayathom stayathomesavelives… ,0.242,0.0,0.758,0.4939,Positive
⁦avgerinosmoscow⁩ pfizerbiontech fda approv apprentic style⁦realdonaldtrump⁩ “approv vaccin you… ,0.0,0.0,1.0,0.0,Neutral
interest detail articl show well test supplychain sharedvis help d… ,0.527,0.0,0.473,0.7783,Positive
💉 vaccin trumpvaccin astrazeneca pfizerbiontech pfizervaccin pfizercovidvaccin  pfizer  belong… ,0.0,0.0,1.0,0.0,Neutral
zubymus  death far death noth worri 🤔covidvaccinespfizervaccine… ,0.0,0.609,0.391,-0.8316,Negative
 nytim pleas don't spread fake news evid case link the… ,0.221,0.0,0.779,0.3724,Positive
icymi fda author pfizerbiontech  vaccin unit state last night,0.0,0.0,1.0,0.0,Neutral
respect due process give approv instead  decemb sure multipl cou… ,0.403,0.0,0.597,0.6597,Positive
vaccin anyon covid pfizervaccin pfizerbiontech ,0.0,0.0,1.0,0.0,Neutral
immigr muslim coupl find  vaccin covidvaccin pfizerbiontech pfizervaccin pfizerproud,0.0,0.0,1.0,0.0,Neutral
fda final issu eua come problem transport pfizerbiontech vaccin need kept … ,0.0,0.213,0.787,-0.4019,Negative
ladi gentlemen covidvaccin expert everi household pakistan pfizerbiontech oxfordvaccin 🤦‍♂️,0.0,0.0,1.0,0.0,Neutral
fact sheet healthcar provid administ vaccinepfizerbiontech covidvaccin ,0.0,0.0,1.0,0.0,Neutral
 sputnikvaccin astrazeneca check tabl  tabl took penni w… ,0.0,0.0,1.0,0.0,Neutral
 sputnikvaccin astrazeneca one doesnt side effect pfizerbiontech a… ,0.0,0.0,1.0,0.0,Neutral
fact sheet recipi caregiverspfizerbiontech covidvaccin ,0.0,0.0,1.0,0.0,Neutral
covidvaccin pfizerbiontech  pfizerbiontech  capetown ,0.0,0.0,1.0,0.0,Neutral
trump announc vaccin rollout less  hoursth first american vaccin against… ,0.0,0.0,1.0,0.0,Neutral
fda author pfizerbiontech coronavirus vaccin emerg use,0.0,0.0,1.0,0.0,Neutral
covidvaccin poison enough left side effect like bellspalsi ☠️ flocking… ,0.179,0.25,0.571,-0.25,Negative
realdonaldtrump dairi dose dumbsvill donthecon grifterinchief trumpforprison trumpcrimefamili covid… ,0.0,0.0,1.0,0.0,Neutral
us fda approv two coronavirus vaccin pfizerbiontech amp moderna  vaccin develo… ,0.0,0.0,1.0,0.0,Neutral
emanew get set approv pfizerbiontech vaccin rollout prepar pick pace across eu meanwhile… ,0.0,0.0,1.0,0.0,Neutral
 news updatespubl question whether actual receiv shotvideo footag appear show… ,0.0,0.0,1.0,0.0,Neutral
tragedi anoth life taken corpor greed evil pharmaceut compani vaccin vaccine… ,0.0,0.441,0.559,-0.7964,Negative
i'v never excit get vaccin 💉💉💉covidvaccin pfizerbiontech vaccinessavel vaccineswork ,0.0,0.0,1.0,0.0,Neutral
build last week trial run extend vaccin 💉 programm week  much effort go b… ,0.124,0.0,0.876,0.1779,Positive
first  vaccin dose arriv oregon  watch morningsonthedov   tomorrow det… ,0.0,0.0,1.0,0.0,Neutral
iran told world health organ intend import pfizerbiontech  vaccin bec… ,0.0,0.0,1.0,0.0,Neutral
concern side effect pfizerbiontech  vaccin  check recap 👇🏼 ,0.0,0.0,1.0,0.0,Neutral
great feel big thank healthcar profession scientist nurs doctor caregivers… ,0.452,0.0,0.548,0.765,Positive
member teamster deliv first   pfizer… ,0.0,0.0,1.0,0.0,Neutral
get first dose pfizerbiontech covidvaccin next weekend see unbox made r… ,0.0,0.0,1.0,0.0,Neutral
take  vaccin avail  pfizer biontech vaccin pfizerbiontech… ,0.0,0.0,1.0,0.0,Neutral
farandwid erinotool michellerempel rempeltrudeau exchang seen believ saw too… ,0.0,0.0,1.0,0.0,Neutral
pfizerbiontech new york state administ first nontrial vaccin morn health care worker p… ,0.211,0.0,0.789,0.4939,Positive
cphocanada pfizerbiontech  femal steril 💥💥💥pfizer untest liabil crimesagainsthuman ,0.0,0.0,1.0,0.0,Neutral
cphocanada key crushcovid mileston achiev shut amp coverup pfizerbiontech      untest l… ,0.0,0.0,1.0,0.0,Neutral
inbox  govparsonmo say shipment pfizerbiontech vaccin continu ship missouri  vaccinat… ,0.0,0.0,1.0,0.0,Neutral
nygovcuomo cmargaroni pfizer up  pfizerbiontech germani base let hope small number are… ,0.296,0.0,0.704,0.4939,Positive
icu nurs sandra lindsay said proud becom one first american receiv pfizer… ,0.22,0.0,0.78,0.4767,Positive
farandwid erinotool michellerempel  screenshot  qp exchang unfortun hansard c… ,0.0,0.0,1.0,0.0,Neutral
meghanmccain physician current covid cri  vaccinessavel pfizerbiontech,0.0,0.0,1.0,0.0,Neutral
dwaincampbel unfortun hansard captur aggro fingerpoint deskthump werea… ,0.0,0.0,1.0,0.0,Neutral
cdnadvocaci hallo unrol ask cdnadvocaci  uk nhs mhra updat covidvaccin clinic guidel… ,0.0,0.0,1.0,0.0,Neutral
fordnat odd verb choic dougyou hand observ  welcom anita anand put  under… ,0.206,0.148,0.645,0.2263,Positive
